objid,raw_path,total_components,secondary_components,primary_flux,primary_center_distance,brightest_secondary_flux_ratio,farthest_secondary_distance_px,asymmetry_score,background_level,background_sigma,component_json,ra,dec,petroMag_r,petroR50_r,secondary_object_score,secondary_object_flag,overlay_path
12376400000000001801,/Users/a/Desktop/astro1/data/raw/12376400000000001801.jpg,1,0,13465.0,61.300125585271225,0.0,0.0,0.8713600635528564,18.0,13.343399999999999,"[{""area"": 94, ""flux"": 13465.0, ""centroid_x"": 122.6, ""centroid_y"": 66.4, ""center_distance"": 61.3, ""bbox"": [118, 62, 127, 71]}]",113.74479670884796,32.070729650434295,17.227898761965363,11.824263379887896,0.37360790546806044,False,
12376400000000006830,/Users/a/Desktop/astro1/data/raw/12376400000000006830.jpg,5,0,47211.0,90.2549290585474,0.0,0.0,1.158889889717102,2.0,1.4826,"[{""area"": 1187, ""flux"": 47211.0, ""centroid_x"": 139.3, ""centroid_y"": 38.0, ""center_distance"": 90.3, ""bbox"": [122, 11, 162, 56]}, {""area"": 239, ""flux"": 7980.0, ""centroid_x"": 84.4, ""centroid_y"": 51.5, ""center_distance"": 87.4, ""bbox"": [77, 43, 92, 59]}, {""area"": 102, ""flux"": 3113.0, ""centroid_x"": 65.1, ""centroid_y"": 66.1, ""center_distance"": 87.6, ""bbox"": [60, 61, 70, 71]}, {""area"": 98, ""flux"": 3568.0, ""centroid_x"": 199.7, ""centroid_y"": 149.1, ""center_distance"": 75.4, ""bbox"": [195, 144, 204, 154]}, {""area"": 66, ""flux"": 2212.0, ""centroid_x"": 59.6, ""centroid_y"": 183.4, ""center_distance"": 88.0, ""bbox"": [56, 180, 64, 187]}]",240.66626124017253,41.74687413884633,17.6523425610472,5.438242478788895,0.37355107338624777,False,
12376400000000002378,/Users/a/Desktop/astro1/data/raw/12376400000000002378.jpg,5,0,2303.0,56.34080797157463,0.0,0.0,0.9520784616470337,2.0,1.4826,"[{""area"": 72, ""flux"": 1817.0, ""centroid_x"": 217.9, ""centroid_y"": 15.4, ""center_distance"": 144.0, ""bbox"": [214, 11, 222, 19]}, {""area"": 96, ""flux"": 2303.0, ""centroid_x"": 115.7, ""centroid_y"": 72.4, ""center_distance"": 56.3, ""bbox"": [112, 67, 120, 78]}, {""area"": 73, ""flux"": 2212.0, ""centroid_x"": 245.9, ""centroid_y"": 109.7, ""center_distance"": 119.7, ""bbox"": [242, 106, 250, 114]}, {""area"": 63, ""flux"": 1513.0, ""centroid_x"": 233.8, ""centroid_y"": 208.6, ""center_distance"": 133.7, ""bbox"": [230, 205, 238, 212]}, {""area"": 80, ""flux"": 2254.0, ""centroid_x"": 49.9, ""centroid_y"": 216.3, ""center_distance"": 117.9, ""bbox"": [46, 212, 54, 221]}]",171.69011025894966,52.21759672190042,20.71962986417285,11.73443301577135,0.37350323220340864,False,
12376400000000003528,/Users/a/Desktop/astro1/data/raw/12376400000000003528.jpg,5,0,43353.0,119.93774948695174,0.0,0.0,0.9550997018814087,14.0,10.3782,"[{""area"": 66, ""flux"": 8384.0, ""centroid_x"": 216.3, ""centroid_y"": 72.2, ""center_distance"": 104.6, ""bbox"": [213, 68, 220, 77]}, {""area"": 120, ""flux"": 14373.0, ""centroid_x"": 13.4, ""centroid_y"": 83.2, ""center_distance"": 122.5, ""bbox"": [8, 77, 18, 89]}, {""area"": 60, ""flux"": 7695.0, ""centroid_x"": 227.1, ""centroid_y"": 139.4, ""center_distance"": 100.3, ""bbox"": [224, 136, 231, 143]}, {""area"": 348, ""flux"": 43353.0, ""centroid_x"": 241.6, ""centroid_y"": 164.5, ""center_distance"": 119.9, ""bbox"": [231, 155, 252, 175]}, {""area"": 101, ""flux"": 12362.0, ""centroid_x"": 92.4, ""centroid_y"": 249.3, ""center_distance"": 126.8, ""bbox"": [87, 245, 98, 253]}]",54.65737024699207,-11.53838317100461,18.935334906628302,8.439002723072157,0.37350323220340864,False,
12376400000000005841,/Users/a/Desktop/astro1/data/raw/12376400000000005841.jpg,5,0,5370.0,51.229230690976884,0.0,0.0,0.9550954103469849,3.0,2.9652,"[{""area"": 73, ""flux"": 4050.0, ""centroid_x"": 106.1, ""centroid_y"": 5.6, ""center_distance"": 123.7, ""bbox"": [102, 2, 110, 10]}, {""area"": 80, ""flux"": 3804.0, ""centroid_x"": 16.6, ""centroid_y"": 8.3, ""center_distance"": 162.8, ""bbox"": [12, 4, 21, 12]}, {""area"": 148, ""flux"": 9173.0, ""centroid_x"": 227.0, ""centroid_y"": 119.8, ""center_distance"": 99.8, ""bbox"": [221, 114, 233, 126]}, {""area"": 91, ""flux"": 5370.0, ""centroid_x"": 152.3, ""centroid_y"": 172.3, ""center_distance"": 51.2, ""bbox"": [148, 168, 157, 177]}, {""area"": 153, ""flux"": 9405.0, ""centroid_x"": 144.1, ""centroid_y"": 206.4, ""center_distance"": 80.6, ""bbox"": [138, 200, 150, 213]}]",123.9986588359769,26.86505094428835,18.693632374746244,8.58735692928618,0.37350323220340864,False,
12376400000000004662,/Users/a/Desktop/astro1/data/raw/12376400000000004662.jpg,1,0,7539.0,77.09487779086597,0.0,0.0,0.8705649375915527,3.0,2.9652,"[{""area"": 155, ""flux"": 7539.0, ""centroid_x"": 57.3, ""centroid_y"": 159.4, ""center_distance"": 77.1, ""bbox"": [51, 153, 63, 167]}]",247.9689681509726,34.56796910451609,17.949550951481193,10.176684206862278,0.37345533551868165,False,
12376400000000004925,/Users/a/Desktop/astro1/data/raw/12376400000000004925.jpg,4,0,73170.0,117.07730553483847,0.0,0.0,1.1761037111282349,5.0,4.4478,"[{""area"": 330, ""flux"": 24552.0, ""centroid_x"": 156.0, ""centroid_y"": 28.6, ""center_distance"": 102.9, ""bbox"": [147, 19, 165, 41]}, {""area"": 126, ""flux"": 8101.0, ""centroid_x"": 38.9, ""centroid_y"": 110.4, ""center_distance"": 90.3, ""bbox"": [33, 105, 45, 116]}, {""area"": 346, ""flux"": 28814.0, ""centroid_x"": 8.0, ""centroid_y"": 132.7, ""center_distance"": 119.7, ""bbox"": [2, 121, 18, 144]}, {""area"": 1194, ""flux"": 73170.0, ""centroid_x"": 124.1, ""centroid_y"": 244.5, ""center_distance"": 117.1, ""bbox"": [90, 228, 154, 253]}]",192.30309451799357,7.592192800260769,17.39703617179383,2.780690405763184,0.37332140765623256,False,
12376400000000005768,/Users/a/Desktop/astro1/data/raw/12376400000000005768.jpg,4,0,88199.0,38.7625388821823,0.0,0.0,1.1762715578079224,2.0,1.4826,"[{""area"": 107, ""flux"": 3588.0, ""centroid_x"": 191.6, ""centroid_y"": 48.1, ""center_distance"": 102.1, ""bbox"": [187, 43, 197, 53]}, {""area"": 123, ""flux"": 4252.0, ""centroid_x"": 218.1, ""centroid_y"": 57.0, ""center_distance"": 114.8, ""bbox"": [212, 52, 224, 62]}, {""area"": 1912, ""flux"": 88199.0, ""centroid_x"": 90.2, ""centroid_y"": 138.1, ""center_distance"": 38.8, ""bbox"": [68, 112, 112, 165]}, {""area"": 200, ""flux"": 8275.0, ""centroid_x"": 174.0, ""centroid_y"": 196.0, ""center_distance"": 82.8, ""bbox"": [167, 189, 181, 203]}]",46.66669390221787,4.401036278744346,17.158368011572392,3.70077604282183,0.37332140765623256,False,
12376400000000004262,/Users/a/Desktop/astro1/data/raw/12376400000000004262.jpg,5,0,55825.0,93.24211158040322,0.0,0.0,1.1572576761245728,3.0,2.9652,"[{""area"": 1025, ""flux"": 55825.0, ""centroid_x"": 102.0, ""centroid_y"": 37.8, ""center_distance"": 93.2, ""bbox"": [84, 20, 120, 69]}, {""area"": 71, ""flux"": 3500.0, ""centroid_x"": 118.2, ""centroid_y"": 61.4, ""center_distance"": 66.8, ""bbox"": [114, 57, 122, 65]}, {""area"": 162, ""flux"": 6905.0, ""centroid_x"": 57.6, ""centroid_y"": 84.0, ""center_distance"": 82.3, ""bbox"": [51, 78, 64, 90]}, {""area"": 150, ""flux"": 9196.0, ""centroid_x"": 204.2, ""centroid_y"": 87.7, ""center_distance"": 86.5, ""bbox"": [198, 82, 211, 94]}, {""area"": 112, ""flux"": 5721.0, ""centroid_x"": 57.9, ""centroid_y"": 143.6, ""center_distance"": 71.5, ""bbox"": [53, 138, 63, 149]}]",244.5862704367892,33.079524672399444,16.422845483812075,10.427101843517583,0.3732984193227932,False,
12376400000000004775,/Users/a/Desktop/astro1/data/raw/12376400000000004775.jpg,5,0,29603.0,149.80292241466054,0.0,0.0,1.1568827629089355,3.0,2.9652,"[{""area"": 67, ""flux"": 2750.0, ""centroid_x"": 49.1, ""centroid_y"": 8.6, ""center_distance"": 142.4, ""bbox"": [45, 5, 53, 12]}, {""area"": 547, ""flux"": 29603.0, ""centroid_x"": 245.1, ""centroid_y"": 34.7, ""center_distance"": 149.8, ""bbox"": [230, 20, 253, 50]}, {""area"": 65, ""flux"": 3196.0, ""centroid_x"": 217.0, ""centroid_y"": 60.3, ""center_distance"": 111.9, ""bbox"": [213, 57, 221, 64]}, {""area"": 104, ""flux"": 6145.0, ""centroid_x"": 42.5, ""centroid_y"": 99.1, ""center_distance"": 89.6, ""bbox"": [38, 94, 47, 105]}, {""area"": 136, ""flux"": 7222.0, ""centroid_x"": 151.1, ""centroid_y"": 188.5, ""center_distance"": 65.4, ""bbox"": [145, 183, 157, 194]}]",286.28284816212937,0.4299840512006376,17.079836003208396,3.107031593287471,0.3732984193227932,False,
